FunctionAn,Category,Function,Gene.abbreviation,Corresponding.KO
Function1965,Other carbohydrate metabolism,M00892+06,"UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc",K00972
Function1966,Biosynthesis of other fungal compounds,M00893+01,"Lovastatin biosynthesis, malonyl-CoA => lovastatin acid",K20981
Function1967,Biosynthesis of other fungal compounds,M00893+02,"Lovastatin biosynthesis, malonyl-CoA => lovastatin acid",K20982
Function1968,Biosynthesis of other fungal compounds,M00893+03,"Lovastatin biosynthesis, malonyl-CoA => lovastatin acid",K20985
Function1969,Biosynthesis of other fungal compounds,M00893+04,"Lovastatin biosynthesis, malonyl-CoA => lovastatin acid",K20980
Function1970,Biosynthesis of phytochemical compounds,M00894+01,"Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol",K20503
Function1971,Biosynthesis of phytochemical compounds,M00894+02,"Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol",K20508
Function1972,Biosynthesis of phytochemical compounds,M00894+03,"Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol",K20502
Function1973,Biosynthesis of phytochemical compounds,M00894+04,"Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol",K20501
Function1974,Cofactor and vitamin metabolism,M00895+01,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP",K03148 and K03154
Function1975,Cofactor and vitamin metabolism,M00895+02,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP",K03151
Function1976,Cofactor and vitamin metabolism,M00896+01,"Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP",K22699
Function1977,Cofactor and vitamin metabolism,M00897+01,"Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP",K03146
Function1978,Cofactor and vitamin metabolism,M00898+01,"Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP",K03146
Function1979,Cofactor and vitamin metabolism,M00899+01,"Thiamine salvage pathway, HMP/HET => TMP",K00878
Function1980,Biosynthesis of phytochemical compounds,M00900+01,"Crocin biosynthesis, crocetin => crocin",K21371
Function1981,Biosynthesis of phytochemical compounds,M00900+02,"Crocin biosynthesis, crocetin => crocin",K21354
Function1982,Biosynthesis of other fungal compounds,M00901+01,"Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline",K23665
Function1983,Biosynthesis of other fungal compounds,M00901+02,"Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline",K23666
Function1984,Biosynthesis of other fungal compounds,M00901+03,"Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline",K23667
Function1985,Biosynthesis of other fungal compounds,M00901+04,"Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline",K23668
Function1986,Biosynthesis of phytochemical compounds,M00902+01,"Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin",K21568
Function1987,Biosynthesis of phytochemical compounds,M00902+02,"Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin",K19650
Function1988,Biosynthesis of phytochemical compounds,M00902+03,"Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin",K21207
Function1989,Biosynthesis of phytochemical compounds,M00902+04,"Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin",K21203
Function1990,Biosynthesis of phytochemical compounds,M00902+05,"Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin",K21205
Function1991,Biosynthesis of phytochemical compounds,M00902+06,"Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin",K21204
Function1992,Biosynthesis of phytochemical compounds,M00902+07,"Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin",K21202
Function1993,Biosynthesis of other antibiotics,M00903+01,"Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin",K23999
Function1994,Biosynthesis of other antibiotics,M00903+02,"Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin",K09459
Function1995,Biosynthesis of other antibiotics,M00903+03,"Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin",K12901
Function1996,Biosynthesis of other antibiotics,M00903+04,"Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin",K12902
Function1997,Biosynthesis of other antibiotics,M00903+05,"Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin",K24000
Function1998,Biosynthesis of other antibiotics,M00903+06,"Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin",K12903
Function1999,Biosynthesis of other antibiotics,M00904+01,"Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C",K22113
Function2000,Biosynthesis of other antibiotics,M00904+02,"Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C",K01957
Function2001,Biosynthesis of other antibiotics,M00904+03,"Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C",K22114
Function2002,Biosynthesis of other bacterial compounds,M00905+01,"Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B",K18287
Function2003,Biosynthesis of other bacterial compounds,M00905+02,"Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B",K17835
Function2004,Biosynthesis of other bacterial compounds,M00905+03,"Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B",K20204
Function2005,Biosynthesis of other bacterial compounds,M00906+01,"Ethynylserine biosynthesis, lysine => ethynylserine",K23669
Function2006,Biosynthesis of other bacterial compounds,M00906+02,"Ethynylserine biosynthesis, lysine => ethynylserine",K23670
Function2007,Biosynthesis of other bacterial compounds,M00906+03,"Ethynylserine biosynthesis, lysine => ethynylserine",K23671
Function2008,Biosynthesis of other bacterial compounds,M00906+04,"Ethynylserine biosynthesis, lysine => ethynylserine",K23672
Function2009,Biosynthesis of other bacterial compounds,M00906+05,"Ethynylserine biosynthesis, lysine => ethynylserine",K23673
Function2010,Other carbohydrate metabolism,M00909+01,"UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc",(K00845 or K25026)
Function2011,Other carbohydrate metabolism,M00909+02,"UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc",(K01810 or K13810 or K15916)
Function2012,Other carbohydrate metabolism,M00909+03,"UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc",K00820
Function2013,Other carbohydrate metabolism,M00909+04,"UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc",K03431
Function2014,Other carbohydrate metabolism,M00909+05,"UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc",K04042
Function2015,Aromatic amino acid metabolism,M00910+01,"Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine",K01850
Function2016,Aromatic amino acid metabolism,M00910+02,"Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine",K15849
Function2017,Aromatic amino acid metabolism,M00910+03,"Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine",K05359
Function2018,Cofactor and vitamin metabolism,M00911+01,"Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD",K01497
Function2019,Cofactor and vitamin metabolism,M00911+02,"Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD",K14654
Function2020,Cofactor and vitamin metabolism,M00911+03,"Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD",K14655
Function2021,Cofactor and vitamin metabolism,M00912+01,"NAD biosynthesis, tryptophan => quinolinate => NAD",(K00453 or K00463)
Function2022,Cofactor and vitamin metabolism,M00912+02,"NAD biosynthesis, tryptophan => quinolinate => NAD",(K01432 or K14263 or K07130)
Function2023,Cofactor and vitamin metabolism,M00912+03,"NAD biosynthesis, tryptophan => quinolinate => NAD",K00486
Function2024,Cofactor and vitamin metabolism,M00912+04,"NAD biosynthesis, tryptophan => quinolinate => NAD",K01556
Function2025,Cofactor and vitamin metabolism,M00912+05,"NAD biosynthesis, tryptophan => quinolinate => NAD",K00452
Function2026,Cofactor and vitamin metabolism,M00912+06,"NAD biosynthesis, tryptophan => quinolinate => NAD",K00767
Function2027,Cofactor and vitamin metabolism,M00912+07,"NAD biosynthesis, tryptophan => quinolinate => NAD",(K00969 or K06210)
Function2028,Cofactor and vitamin metabolism,M00912+08,"NAD biosynthesis, tryptophan => quinolinate => NAD",(K01916 or K01950)
Function2029,Cofactor and vitamin metabolism,M00913+01,"Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate",K00606
Function2030,Cofactor and vitamin metabolism,M00913+02,"Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate",K00077
Function2031,Cofactor and vitamin metabolism,M00914+01,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",K00606
Function2032,Cofactor and vitamin metabolism,M00914+02,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",K00077
Function2033,Cofactor and vitamin metabolism,M00914+03,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",K06982
Function2034,Cofactor and vitamin metabolism,M00914+04,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",K09722
Function2035,Cofactor and vitamin metabolism,M00914+05,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",K13038
Function2036,Cofactor and vitamin metabolism,M00914+06,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",K02201
Function2037,Cofactor and vitamin metabolism,M00914+07,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",K09735
Function2038,Aromatics degradation,M00915+01,"Caffeine degradation, caffeine => xanthine",K21722
Function2039,Aromatics degradation,M00915+02,"Caffeine degradation, caffeine => xanthine",K21723
Function2040,Aromatics degradation,M00915+03,"Caffeine degradation, caffeine => xanthine",K21724
Function2041,Cofactor and vitamin metabolism,M00916+01,"Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P",K06215 and K08681
Function2042,Sterol biosynthesis,M00917+01,"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",K01853
Function2043,Sterol biosynthesis,M00917+02,"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",K00559
Function2044,Sterol biosynthesis,M00917+03,"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",K14423
Function2045,Sterol biosynthesis,M00917+04,"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",K23558
Function2046,Sterol biosynthesis,M00917+05,"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",K08246
Function2047,Sterol biosynthesis,M00917+06,"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",K05917
Function2048,Sterol biosynthesis,M00917+07,"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",K00222
Function2049,Sterol biosynthesis,M00917+08,"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",K01824
Function2050,Sterol biosynthesis,M00917+09,"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",K08242
Function2051,Biosynthesis of other bacterial compounds,M00918+01,"Aerobactin biosynthesis, lysine => aerobactin",K03897
Function2052,Biosynthesis of other bacterial compounds,M00918+02,"Aerobactin biosynthesis, lysine => aerobactin",K03896
Function2053,Biosynthesis of other bacterial compounds,M00918+03,"Aerobactin biosynthesis, lysine => aerobactin",K03894
Function2054,Biosynthesis of other bacterial compounds,M00918+04,"Aerobactin biosynthesis, lysine => aerobactin",K03895
Function2055,Serine and threonine metabolism,M00919+01,"Ectoine degradation, ectoine => aspartate",K15783
Function2056,Serine and threonine metabolism,M00919+02,"Ectoine degradation, ectoine => aspartate",K15784
Function2057,Serine and threonine metabolism,M00919+03,"Ectoine degradation, ectoine => aspartate",K15785
Function2058,Serine and threonine metabolism,M00919+04,"Ectoine degradation, ectoine => aspartate",K15786
Function2059,Biosynthesis of other bacterial compounds,M00921+01,"Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin",K13787
Function2060,Biosynthesis of other bacterial compounds,M00921+02,"Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin",K18686
Function2061,Biosynthesis of other bacterial compounds,M00921+03,"Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin",K22997
Function2062,Biosynthesis of other bacterial compounds,M00921+04,"Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin",K22998
Function2063,Lipopolysaccharide metabolism,M00922+01,CMP-Neu5Ac biosynthesis,K24257
Function2064,Lipopolysaccharide metabolism,M00922+02,CMP-Neu5Ac biosynthesis,K01654
Function2065,Lipopolysaccharide metabolism,M00922+03,CMP-Neu5Ac biosynthesis,K00983
Function2066,Lipopolysaccharide metabolism,M00923+01,UDP-L-FucNAm biosynthesis,K15894
Function2067,Lipopolysaccharide metabolism,M00923+02,UDP-L-FucNAm biosynthesis,K19068
Function2068,Lipopolysaccharide metabolism,M00923+03,UDP-L-FucNAm biosynthesis,K24258
Function2069,Lipopolysaccharide metabolism,M00923+04,UDP-L-FucNAm biosynthesis,K24259
Function2070,Cofactor and vitamin metabolism,M00924+01,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",(K02302 or (K02303 or K13542) and (K02304 or K24866))
Function2071,Cofactor and vitamin metabolism,M00924+02,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",(K02190 or K03795 or K22011)
Function2072,Cofactor and vitamin metabolism,M00924+03,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",K03394
Function2073,Cofactor and vitamin metabolism,M00924+04,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",(K05934 or K13541 or K21479)
Function2074,Cofactor and vitamin metabolism,M00924+05,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",K05936
Function2075,Cofactor and vitamin metabolism,M00924+06,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",(K02189 or K13541)
Function2076,Cofactor and vitamin metabolism,M00924+07,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",K02188
Function2077,Cofactor and vitamin metabolism,M00924+08,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",K05895
Function2078,Cofactor and vitamin metabolism,M00924+09,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",(K02191 and K03399 or K00595)
Function2079,Cofactor and vitamin metabolism,M00924+10,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",K06042
Function2080,Cofactor and vitamin metabolism,M00924+11,"Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide",K02224
Function2081,Cofactor and vitamin metabolism,M00925+01,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide",(K02303 or K13542)
Function2082,Cofactor and vitamin metabolism,M00925+02,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide",(K03394 or K13540)
Function2083,Cofactor and vitamin metabolism,M00925+03,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide",K02229
Function2084,Cofactor and vitamin metabolism,M00925+04,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide",(K05934 or K13540 or K13541)
Function2085,Cofactor and vitamin metabolism,M00925+05,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide",K05936
Function2086,Cofactor and vitamin metabolism,M00925+06,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide",K02228
Function2087,Cofactor and vitamin metabolism,M00925+07,"Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide",K05895
